"","X","speciesCode","commonName","order","scientificName","COSEWIC","Cavity","Waterfowl","Marine_Birds","Shorebirds","Wetland_Birds","Birds_of_Prey","Forest_Birds","Grassland_Birds","Aerial_Insectivores","Arctic_Birds","Long_Distance_Migrants"
"1",20,"ALFL","Alder Flycatcher","Passeriformes","Empidonax alnorum",0,0,0,0,0,1,0,0,0,1,0,1
"2",35,"AMCR","American Crow","Passeriformes","Corvus brachyrhynchos",0,0,0,0,0,0,0,0,0,0,0,1
"3",39,"AMGO","American Goldfinch","Passeriformes","Spinus tristis",0,0,0,0,0,0,0,0,0,0,0,1
"4",43,"AMPI","American Pipit","Passeriformes","Anthus rubescens",0,0,0,0,0,0,0,0,0,0,0,1
"5",45,"AMRE","American Redstart","Passeriformes","Setophaga ruticilla",0,0,0,0,0,0,0,1,0,0,0,1
"6",46,"AMRO","American Robin","Passeriformes","Turdus migratorius",0,0,0,0,0,0,0,0,0,0,0,0
"7",47,"ATTW","American Three-toed Woodpecker","Piciformes","Picoides dorsalis",0,1,0,0,0,0,0,1,0,0,0,1
"8",48,"ATSP","American Tree Sparrow","Passeriformes","Spizelloides arborea",0,0,0,0,0,0,0,0,0,0,0,1
"9",121,"BAOR","Baltimore Oriole","Passeriformes","Icterus galbula",0,0,0,0,0,0,0,0,0,0,0,1
"10",134,"BANS","Bank Swallow","Passeriformes","Riparia riparia",1,0,0,0,0,0,0,0,0,1,0,1
"11",148,"BARS","Barn Swallow","Passeriformes","Hirundo rustica",1,0,0,0,0,0,0,0,0,1,0,1
"12",167,"BBWA","Bay-breasted Warbler","Passeriformes","Setophaga castanea",0,0,0,0,0,0,0,1,0,0,0,1
"13",182,"BEKI","Belted Kingfisher","Coraciiformes","Megaceryle alcyon",0,0,0,0,0,1,0,0,0,0,0,0
"14",236,"BAWW","Black-and-white Warbler","Passeriformes","Mniotilta varia",0,0,0,0,0,0,0,1,0,0,0,1
"15",240,"BBWO","Black-backed Woodpecker","Piciformes","Picoides arcticus",0,1,0,0,0,0,0,1,0,0,0,1
"16",251,"BBCU","Black-billed Cuckoo","Cuculiformes","Coccyzus erythropthalmus",0,0,0,0,0,0,0,0,0,0,0,1
"17",253,"BBMA","Black-billed Magpie","Passeriformes","Pica hudsonia",0,0,0,0,0,0,0,0,0,0,0,1
"18",263,"BCCH","Black-capped Chickadee","Passeriformes","Poecile atricapillus",0,1,0,0,0,0,0,1,0,0,0,1
"19",333,"BTBW","Black-throated Blue Warbler","Passeriformes","Setophaga caerulescens",0,0,0,0,0,0,0,1,0,0,0,1
"20",337,"BTNW","Black-throated Green Warbler","Passeriformes","Setophaga virens",0,0,0,0,0,0,0,1,0,0,0,1
"21",357,"BLBW","Blackburnian Warbler","Passeriformes","Setophaga fusca",0,0,0,0,0,0,0,1,0,0,0,1
"22",358,"BLPW","Blackpoll Warbler","Passeriformes","Setophaga striata",0,0,0,0,0,0,0,1,0,0,0,1
"23",369,"BLJA","Blue Jay","Passeriformes","Cyanocitta cristata",0,0,0,0,0,0,0,0,0,0,0,0
"24",393,"BGGN","Blue-gray Gnatcatcher","Passeriformes","Polioptila caerulea",0,0,0,0,0,0,0,0,0,0,0,0
"25",401,"BHVI","Blue-headed Vireo","Passeriformes","Vireo solitarius",0,0,0,0,0,0,0,1,0,0,0,0
"26",419,"BOBO","Bobolink","Passeriformes","Dolichonyx oryzivorus",1,0,0,0,0,0,0,0,1,0,0,1
"27",420,"BOWA","Bohemian Waxwing","Passeriformes","Bombycilla garrulus",0,0,0,0,0,0,0,1,0,0,0,1
"28",429,"BOCH","Boreal Chickadee","Passeriformes","Poecile hudsonicus",0,1,0,0,0,0,0,1,0,0,0,1
"29",442,"BRBL","Brewer's Blackbird","Passeriformes","Euphagus cyanocephalus",0,0,0,0,0,0,0,0,0,0,0,1
"30",467,"BRCR","Brown Creeper","Passeriformes","Certhia americana",0,1,0,0,0,0,0,1,0,0,0,0
"31",475,"BRTH","Brown Thrasher","Passeriformes","Toxostoma rufum",0,0,0,0,0,0,0,0,0,0,0,1
"32",491,"BHCO","Brown-headed Cowbird","Passeriformes","Molothrus ater",0,0,0,0,0,0,0,0,0,0,0,1
"33",543,"CAWA","Canada Warbler","Passeriformes","Cardellina canadensis",1,0,0,0,0,0,0,1,0,0,0,1
"34",550,"CMWA","Cape May Warbler","Passeriformes","Setophaga tigrina",0,0,0,0,0,0,0,1,0,0,0,1
"35",582,"CEDW","Cedar Waxwing","Passeriformes","Bombycilla cedrorum",0,0,0,0,0,0,0,0,0,0,0,1
"36",613,"CSWA","Chestnut-sided Warbler","Passeriformes","Setophaga pensylvanica",0,0,0,0,0,0,0,1,0,0,0,1
"37",624,"CHSP","Chipping Sparrow","Passeriformes","Spizella passerina",0,0,0,0,0,0,0,0,0,0,0,1
"38",659,"CCSP","Clay-colored Sparrow","Passeriformes","Spizella pallida",0,0,0,0,0,0,0,0,0,0,0,1
"39",662,"CLSW","Cliff Swallow","Passeriformes","Petrochelidon pyrrhonota",0,0,0,0,0,0,0,0,0,1,0,1
"40",697,"COGR","Common Grackle","Passeriformes","Quiscalus quiscula",0,0,0,0,0,0,0,0,0,0,0,1
"41",717,"CORA","Common Raven","Passeriformes","Corvus corax",0,0,0,0,0,0,0,0,0,0,0,1
"42",733,"COYE","Common Yellowthroat","Passeriformes","Geothlypis trichas",0,0,0,0,0,1,0,0,0,0,0,0
"43",736,"CONW","Connecticut Warbler","Passeriformes","Oporornis agilis",0,0,0,0,0,0,0,1,0,0,0,1
"44",816,"DEJU","Dark-eyed Junco","Passeriformes","Junco hyemalis",0,0,0,0,0,0,0,1,0,0,0,1
"45",836,"DOWO","Downy Woodpecker","Piciformes","Dryobates pubescens",0,1,0,0,0,0,0,1,0,0,0,1
"46",847,"DUFL","Dusky Flycatcher","Passeriformes","Empidonax oberholseri",0,0,0,0,0,0,0,1,0,1,0,0
"47",871,"EABL","Eastern Bluebird","Passeriformes","Sialia sialis",0,1,0,0,0,0,0,0,0,0,0,0
"48",873,"EAKI","Eastern Kingbird","Passeriformes","Tyrannus tyrannus",0,0,0,0,0,0,0,0,0,1,0,1
"49",877,"EAPH","Eastern Phoebe","Passeriformes","Sayornis phoebe",0,0,0,0,0,0,0,0,0,1,0,1
"50",881,"EATO","Eastern Towhee","Passeriformes","Pipilo erythrophthalmus",0,0,0,0,0,0,0,0,0,0,0,1
"51",884,"EAWP","Eastern Wood-Pewee","Passeriformes","Contopus virens",1,0,0,0,0,0,0,1,0,1,0,1
